Period,Simple Variant Entropy,Simple Normalized Variant Entropy,Simple Sequence Entropy,Simple Normalized Sequence Entropy,Magnitude,Support,Variety,Minimum trace length,Average trace length,Maximum trace length,Level of detail,Pentland task complexity,Pentland process complexity,Lempel-Ziv,Distinct traces,Distinct traces (percentage),Structure,Affinity,Deviation from random,Average edit distance
1,4.4986811569504646,0.2704260414863775,36.555997058323825,0.02241416760484881,288.0,50.0,6.0,3.0,5.76,6.0,5.76,9.0,1.4454397707459274,99.0,2.0,4.0,0.8055555555555556,0.8497959183673469,0.6005406795828957,0.4506122448979592
2,4.4986811569504646,0.2704260414863775,71.29405399292008,0.047165443005098534,270.0,50.0,6.0,3.0,5.4,6.0,5.4,9.0,1.4454397707459274,96.0,2.0,4.0,0.8055555555555556,0.673469387755102,0.6236441712613872,0.9795918367346939
3,5.292505905263855,0.31814466764165494,158.10805126775108,0.11035951095387278,258.0,50.0,6.0,3.0,5.16,6.0,5.16,9.0,1.4454397707459274,92.0,2.0,4.0,0.8055555555555556,0.5885714285714285,0.6379765482476696,1.2342857142857142
4,4.4986811569504646,0.2704260414863775,108.13469012791325,0.08220961372721874,240.0,50.0,6.0,3.0,4.8,6.0,4.8,9.0,1.4454397707459274,83.0,2.0,4.0,0.8055555555555556,0.5102040816326531,0.6549831501877694,1.469387755102041
5,4.4986811569504646,0.2704260414863775,123.6126309411992,0.10646531312382834,216.0,50.0,6.0,3.0,4.32,6.0,4.32,9.0,1.4454397707459274,76.0,2.0,4.0,0.8055555555555556,0.49714285714285716,0.6580267635848039,1.5085714285714287
6,4.4986811569504646,0.2704260414863775,125.63661360290402,0.11188658263339285,210.0,50.0,6.0,3.0,4.2,6.0,4.2,9.0,1.4454397707459274,76.0,2.0,4.0,0.8055555555555556,0.5102040816326531,0.6526389166555611,1.469387755102041
7,5.292505905263855,0.31814466764165494,116.95668730144322,0.12032718640128448,186.0,50.0,6.0,3.0,3.72,6.0,3.72,9.0,1.4454397707459274,66.0,2.0,4.0,0.8055555555555556,0.6277551020408163,0.590987254019546,1.116734693877551
8,5.292505905263855,0.31814466764165494,60.54851865718725,0.07346421834197206,162.0,50.0,6.0,3.0,3.24,6.0,3.24,9.0,1.4454397707459274,51.0,2.0,4.0,0.8055555555555556,0.8497959183673469,0.43788593486533156,0.4506122448979592
