Period,Simple Variant Entropy,Simple Normalized Variant Entropy,Simple Sequence Entropy,Simple Normalized Sequence Entropy,Magnitude,Support,Variety,Minimum trace length,Average trace length,Maximum trace length,Level of detail,Pentland task complexity,Pentland process complexity,Lempel-Ziv,Distinct traces,Distinct traces (percentage),Structure,Affinity,Deviation from random,Average edit distance
1,0.0,0.0,0.0,0.0,300.0,50.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,98.0,1.0,2.0,0.8611111111111112,1.0,0.5850033467337088,0.0
2,0.0,0.0,0.0,0.0,300.0,50.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,95.0,1.0,2.0,0.8611111111111112,1.0,0.5850033467337088,0.0
3,0.0,0.0,0.0,0.0,300.0,50.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,96.0,1.0,2.0,0.8611111111111112,1.0,0.5850033467337088,0.0
4,4.4986811569504646,0.2704260414863775,71.29405399292008,0.047165443005098534,270.0,50.0,6.0,3.0,5.4,6.0,5.4,9.0,1.4454397707459274,94.0,2.0,4.0,0.8055555555555556,0.673469387755102,0.6236441712613872,0.9795918367346939
5,4.4986811569504646,0.2704260414863775,125.63661360290402,0.11188658263339285,210.0,50.0,6.0,3.0,4.2,6.0,4.2,9.0,1.4454397707459274,72.0,2.0,4.0,0.8055555555555556,0.5102040816326531,0.6526389166555611,1.469387755102041
6,0.0,0.0,0.0,0.0,150.0,50.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,38.0,1.0,2.0,0.7777777777777778,1.0,0.3763904355376765,0.0
7,0.0,0.0,0.0,0.0,150.0,50.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,38.0,1.0,2.0,0.7777777777777778,1.0,0.3763904355376765,0.0
8,0.0,0.0,0.0,0.0,150.0,50.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,39.0,1.0,2.0,0.7777777777777778,1.0,0.3763904355376765,0.0
