Period,Simple Variant Entropy,Simple Normalized Variant Entropy,Simple Sequence Entropy,Simple Normalized Sequence Entropy,Magnitude,Support,Variety,Minimum trace length,Average trace length,Maximum trace length,Level of detail,Pentland task complexity,Pentland process complexity,Lempel-Ziv,Distinct traces,Distinct traces (percentage),Structure,Affinity,Deviation from random,Average edit distance
1,4.4986811569504646,0.2704260414863775,71.29405399292008,0.047165443005098534,270.0,50.0,6.0,3.0,5.4,6.0,5.4,9.0,1.4454397707459274,92.0,2.0,4.0,0.8055555555555556,0.673469387755102,0.6236441712613872,0.9795918367346939
2,4.4986811569504646,0.2704260414863775,108.13469012791325,0.08220961372721874,240.0,50.0,6.0,3.0,4.8,6.0,4.8,9.0,1.4454397707459274,86.0,2.0,4.0,0.8055555555555556,0.5102040816326531,0.6549831501877694,1.469387755102041
3,5.292505905263855,0.31814466764165494,158.7751771579159,0.12070914493935936,240.0,50.0,6.0,3.0,4.8,6.0,4.8,9.0,1.4454397707459274,84.0,2.0,4.0,0.8055555555555556,0.5102040816326531,0.6549831501877694,1.469387755102041
4,4.4986811569504646,0.2704260414863775,108.13469012791325,0.08220961372721874,240.0,50.0,6.0,3.0,4.8,6.0,4.8,9.0,1.4454397707459274,88.0,2.0,4.0,0.8055555555555556,0.5102040816326531,0.6549831501877694,1.469387755102041
5,4.4986811569504646,0.2704260414863775,108.13469012791325,0.08220961372721874,240.0,50.0,6.0,3.0,4.8,6.0,4.8,9.0,1.4454397707459274,88.0,2.0,4.0,0.8055555555555556,0.5102040816326531,0.6549831501877694,1.469387755102041
6,5.292505905263855,0.31814466764165494,158.7751771579159,0.12070914493935936,240.0,50.0,6.0,3.0,4.8,6.0,4.8,9.0,1.4454397707459274,86.0,2.0,4.0,0.8055555555555556,0.5102040816326531,0.6549831501877694,1.469387755102041
7,4.4986811569504646,0.2704260414863775,125.63661360290402,0.11188658263339285,210.0,50.0,6.0,3.0,4.2,6.0,4.2,9.0,1.4454397707459274,78.0,2.0,4.0,0.8055555555555556,0.5102040816326531,0.6526389166555611,1.469387755102041
8,0.0,0.0,0.0,0.0,150.0,50.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,47.0,1.0,2.0,0.7777777777777778,1.0,0.3763904355376765,0.0
