Period,Simple Variant Entropy,Simple Normalized Variant Entropy,Simple Sequence Entropy,Simple Normalized Sequence Entropy,Magnitude,Support,Variety,Minimum trace length,Average trace length,Maximum trace length,Level of detail,Pentland task complexity,Pentland process complexity,Lempel-Ziv,Distinct traces,Distinct traces (percentage),Structure,Affinity,Deviation from random,Average edit distance
1,0.0,0.0,0.0,0.0,240.0,40.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,88.0,1.0,2.5,0.8611111111111112,1.0,0.5850033467337088,0.0
2,0.0,0.0,0.0,0.0,210.0,40.0,6.0,5.0,5.25,6.0,5.25,6.0,1.0,79.0,2.0,5.0,0.8611111111111112,0.9230769230769231,0.5560003186578724,0.38461538461538464
3,0.0,0.0,0.0,0.0,200.0,40.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,71.0,1.0,2.5,0.84,1.0,0.5417424305044161,0.0
4,5.292505905263855,0.31814466764165494,82.87084182321551,0.08312565739873821,190.0,40.0,5.0,4.0,4.75,5.0,4.75,9.0,1.202264434617413,66.0,2.0,5.0,0.8,0.7692307692307693,0.5679506201061426,0.38461538461538464
5,0.0,0.0,0.0,0.0,160.0,40.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,52.0,1.0,2.5,0.8125,1.0,0.47958350013346684,0.0
6,0.0,0.0,0.0,0.0,160.0,40.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,46.0,1.0,2.5,0.8125,1.0,0.47958350013346684,0.0
7,2.5020121176909393,0.3109175070825711,70.22653851055189,0.11098106194981315,130.0,40.0,4.0,3.0,3.25,4.0,3.25,7.0,1.202264434617413,42.0,2.0,5.0,0.75,0.7115384615384616,0.47958350013346684,0.38461538461538464
8,0.0,0.0,0.0,0.0,60.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,22.0,1.0,5.0,0.7777777777777778,1.0,0.3763904355376765,0.0
